Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2019-01-01,2019-01-06,3,Kenin S.,Martic P.,52.0,32.0,7-5,2-6,6-2,Completed
ASB Classic,2019-01-01,2019-01-06,3,Flipkens K.,Vickery S.,47.0,101.0,6-2,6-2,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Townsend T.,Strycova B.,90.0,33.0,2-6,7-6,3-6,Completed
ASB Classic,2019-01-01,2019-01-06,3,Van Uytvanck A.,Schoofs B.,49.0,174.0,4-3,,,Van Uytvanck A. Retired
ASB Classic,2019-01-01,2019-01-06,3,Hsieh S.W.,Hercog P.,28.0,85.0,6-2,6-3,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Soler-Espinosa S.,Barthel M.,190.0,77.0,2-6,6-7,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Goerges J.,Larsson J.,14.0,75.0,6-0,6-4,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Anisimova A.,Cepelova J.,96.0,188.0,6-2,3-0,,Cepelova J. Retired
ASB Classic,2019-01-01,2019-01-06,3,Azarenka V.,Williams V.,51.0,39.0,3-6,6-1,3-6,Completed
ASB Classic,2019-01-01,2019-01-06,3,Babos T.,Andreescu B.,59.0,152.0,4-6,6-7,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Siegemund L.,Wozniacki C.,113.0,3.0,3-6,2-6,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Sorribes Tormo S.,Flipkens K.,86.0,47.0,6-4,1-6,6-1,Completed
ASB Classic,2019-01-01,2019-01-06,3,Puig M.,Hsieh S.W.,53.0,28.0,1-6,6-7,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Bouchard E.,Schoofs B.,87.0,174.0,6-7,6-4,6-4,Completed
ASB Classic,2019-01-01,2019-01-06,3,Goerges J.,Barthel M.,14.0,77.0,6-4,6-4,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Kuzmova V.,Kenin S.,50.0,52.0,7-5,5-7,6-3,Completed
ASB Classic,2019-01-01,2019-01-06,3,Strycova B.,Anisimova A.,33.0,96.0,3-6,3-6,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Davis L.,Williams V.,173.0,39.0,4-6,3-6,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Wozniacki C.,Andreescu B.,3.0,152.0,4-6,4-6,,Completed
ASB Classic,2019-01-01,2019-01-06,3,Kuzmova V.,Anisimova A.,50.0,96.0,6-3,2-6,6-4,Completed
ASB Classic,2019-01-01,2019-01-06,3,Bouchard E.,Goerges J.,87.0,14.0,6-3,3-6,6-7,Completed
ASB Classic,2019-01-01,2019-01-06,3,Williams V.,Andreescu B.,39.0,152.0,7-6,1-6,3-6,Completed
