Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2020-01-06,2020-01-12,3,Kasatkina D.,Suarez Navarro C.,70.0,52.0,6-3,3-6,6-2,Completed
ASB Classic,2020-01-06,2020-01-12,3,Pegula J.,Bellis C.,82.0,855.0,6-0,6-4,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Townsend T.,Garcia C.,77.0,46.0,7-5,3-6,5-7,Completed
ASB Classic,2020-01-06,2020-01-12,3,Zidansek T.,Peterson R.,64.0,44.0,7-6,7-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Teichmann J.,Ivanov V.,68.0,1001.0,6-4,6-3,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Kuzmova V.,Gauff C.,61.0,67.0,3-6,1-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Flipkens K.,Bouchard E.,72.0,262.0,5-7,5-7,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Arconada U.M.,Martic P.,135.0,15.0,7-5,4-6,4-6,Completed
ASB Classic,2020-01-06,2020-01-12,3,Bonaventure Y.,Cornet A.,116.0,57.0,6-4,5-7,3-6,Completed
ASB Classic,2020-01-06,2020-01-12,3,Anisimova A.,Kozlova K.,25.0,89.0,6-3,6-4,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Giorgi C.,Williams S.,99.0,10.0,3-6,2-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Siegemund L.,Mcnally C.,73.0,118.0,6-2,6-2,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Li A.,Mchale C.,145.0,86.0,5-7,2-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Wozniacki C.,Hourigan P.M.,39.0,447.0,6-1,6-0,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Davis L.,Lepchenko V.,63.0,170.0,7-6,6-2,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Goerges J.,Minnen G.,41.0,109.0,6-1,7-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Cornet A.,Martic P.,57.0,15.0,3-6,6-4,6-4,Completed
ASB Classic,2020-01-06,2020-01-12,3,Zidansek T.,Pegula J.,64.0,82.0,2-6,3-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Garcia C.,Bouchard E.,46.0,262.0,4-6,4-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Kasatkina D.,Anisimova A.,70.0,25.0,2-6,4-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Siegemund L.,Gauff C.,73.0,67.0,5-7,6-2,6-3,Completed
ASB Classic,2020-01-06,2020-01-12,3,Mchale C.,Williams S.,86.0,10.0,6-3,2-6,3-6,Completed
ASB Classic,2020-01-06,2020-01-12,3,Teichmann J.,Goerges J.,68.0,41.0,3-6,2-6,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Wozniacki C.,Davis L.,39.0,63.0,6-1,4-6,6-4,Completed
ASB Classic,2020-01-06,2020-01-12,3,Cornet A.,Pegula J.,57.0,82.0,0-6,2-3,,Cornet A. Retired
ASB Classic,2020-01-06,2020-01-12,3,Williams S.,Siegemund L.,10.0,73.0,6-4,6-3,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Wozniacki C.,Goerges J.,39.0,41.0,6-1,6-4,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Bouchard E.,Anisimova A.,262.0,25.0,2-6,6-3,4-6,Completed
ASB Classic,2020-01-06,2020-01-12,3,Wozniacki C.,Pegula J.,39.0,82.0,6-3,4-6,0-6,Completed
ASB Classic,2020-01-06,2020-01-12,3,Williams S.,Anisimova A.,10.0,25.0,6-1,6-1,,Completed
ASB Classic,2020-01-06,2020-01-12,3,Williams S.,Pegula J.,10.0,82.0,6-3,6-4,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Strycova B.,Konta J.,31.0,12.0,6-2,3-6,6-3,Completed
Brisbane International,2020-01-06,2020-01-12,3,Sevastova A.,Kenin S.,30.0,14.0,6-7,4-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Muchova K.,Riske A.,21.0,19.0,4-6,2-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Stosur S.,Kerber A.,98.0,18.0,7-6,7-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Tomljanovic A.,Hon P.,54.0,122.0,6-2,4-6,6-4,Completed
Brisbane International,2020-01-06,2020-01-12,3,Svitolina E.,Collins D.,5.0,27.0,1-6,1-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Bouzkova M.,Keys M.,60.0,13.0,3-6,2-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Samsonova L.,Stephens S.,129.0,24.0,6-4,2-6,6-3,Completed
Brisbane International,2020-01-06,2020-01-12,3,Vekic D.,Putintseva Y.,20.0,32.0,3-6,6-3,5-7,Completed
Brisbane International,2020-01-06,2020-01-12,3,Osaka N.,Sakkari M.,4.0,23.0,6-2,6-7,6-3,Completed
Brisbane International,2020-01-06,2020-01-12,3,Hsieh S.W.,Kontaveit A.,33.0,26.0,4-6,1-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Yastremska D.,Bertens K.,22.0,9.0,4-6,6-1,3-6,Completed
Brisbane International,2020-01-06,2020-01-12,3,Kvitova P.,Pavlyuchenkova A.,7.0,29.0,2-6,6-1,6-0,Completed
Brisbane International,2020-01-06,2020-01-12,3,Sharapova M.,Brady J.,147.0,53.0,6-3,1-6,6-7,Completed
Brisbane International,2020-01-06,2020-01-12,3,Strycova B.,Riske A.,31.0,19.0,3-6,4-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Putintseva Y.,Collins D.,32.0,27.0,1-6,0-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Stosur S.,Keys M.,98.0,13.0,5-7,3-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Brady J.,Barty A.,53.0,1.0,6-4,7-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Pliskova Ka.,Tomljanovic A.,2.0,54.0,6-4,6-7,6-1,Completed
Brisbane International,2020-01-06,2020-01-12,3,Kvitova P.,Samsonova L.,7.0,129.0,6-3,6-2,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Kenin S.,Osaka N.,14.0,4.0,7-6,3-6,1-6,Completed
Brisbane International,2020-01-06,2020-01-12,3,Bertens K.,Kontaveit A.,9.0,26.0,6-3,2-6,7-5,Completed
Brisbane International,2020-01-06,2020-01-12,3,Collins D.,Keys M.,27.0,13.0,4-6,1-6,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Kvitova P.,Brady J.,7.0,53.0,6-4,6-2,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Osaka N.,Bertens K.,4.0,9.0,6-3,3-6,6-3,Completed
Brisbane International,2020-01-06,2020-01-12,3,Pliskova Ka.,Riske A.,2.0,19.0,7-6,6-3,,Completed
Brisbane International,2020-01-06,2020-01-12,3,Kvitova P.,Keys M.,7.0,13.0,6-3,2-6,3-6,Completed
Brisbane International,2020-01-06,2020-01-12,3,Pliskova Ka.,Osaka N.,2.0,4.0,6-7,7-6,6-2,Completed
Brisbane International,2020-01-06,2020-01-12,3,Keys M.,Pliskova Ka.,13.0,2.0,4-6,6-4,5-7,Completed
Shenzhen Open,2020-01-05,2020-01-11,3,Mertens E.,Tsurenko L.,17.0,119.0,6-3,6-3,,Completed
Shenzhen Open,2020-01-05,2020-01-11,3,Cirstea S.,Wang Xiy.,74.0,140.0,6-3,1-6,1-6,Completed
Shenzhen Open,2020-01-05,2020-01-11,3,Bondarenko K.,Doi M.,1168.0,80.0,6-4,6-1,,Completed
Shenzhen Open,2020-01-05,2020-01-11,3,Siniakova K.,Alexandrova E.,55.0,34.0,4-6,4-6,,Completed
Shenzhen Open,2020-01-05,2020-01-11,3,Zhang S.,Linette M.,38.0,43.0,6-4,6-2,,Completed
Shenzhen Open,2020-01-05,2020-01-11,3,Sorribes Tormo S.,Wang Yaf.,90.0,50.0,6-1,1-6,3-6,Completed
