Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2018-01-01,2018-01-07,3,Flipkens K.,Vekic D.,76.0,54.0,7-6,3-6,6-4,Completed
ASB Classic,2018-01-01,2018-01-07,3,Puig M.,Goerges J.,57.0,14.0,4-6,6-4,2-6,Completed
ASB Classic,2018-01-01,2018-01-07,3,Fett J.,Kenin S.,102.0,108.0,4-6,4-6,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Barthel M.,Lepchenko V.,52.0,63.0,2-6,2-6,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Vickery S.,Davis L.,122.0,48.0,6-1,6-2,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Cepede Royg V.,Arruabarrena L.,78.0,86.0,6-3,6-3,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Bonaventure Y.,Putintseva Y.,183.0,50.0,6-3,6-3,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Errani S.,Strycova B.,132.0,23.0,4-6,7-6,4-6,Completed
ASB Classic,2018-01-01,2018-01-07,3,Larsson J.,Nara K.,82.0,101.0,7-6,6-3,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Townsend T.,Mchale C.,95.0,64.0,1-6,6-4,6-4,Completed
ASB Classic,2018-01-01,2018-01-07,3,Hercog P.,Van Uytvanck A.,100.0,77.0,6-4,7-5,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Haddad Maia B.,Radwanska A.,71.0,28.0,2-6,6-4,2-6,Completed
ASB Classic,2018-01-01,2018-01-07,3,Wozniacki C.,Brengle M.,3.0,85.0,6-3,6-0,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Lewis J.,Kuzmova V.,1051.0,138.0,4-6,3-6,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Bonaventure Y.,Hsieh S.W.,183.0,103.0,4-6,3-6,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Strycova B.,Larsson J.,23.0,82.0,6-1,6-7,6-2,Completed
ASB Classic,2018-01-01,2018-01-07,3,Kenin S.,Lepchenko V.,108.0,63.0,6-4,7-6,,Completed
ASB Classic,2018-01-01,2018-01-07,3,Wozniacki C.,Martic P.,3.0,90.0,6-2,6-2,,Completed
