Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2016-01-03,2016-01-09,3,Stephens S.,Witthoeft C.,30.0,64.0,3-6,6-1,6-3,Completed
ASB Classic,2016-01-03,2016-01-09,3,Paszek T.,Kuznetsova S.,172.0,25.0,6-2,6-3,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Hibino N.,Kasatkina D.,66.0,75.0,7-5,2-6,7-5,Completed
ASB Classic,2016-01-03,2016-01-09,3,Broady N.,Ostapenko J.,122.0,84.0,4-6,7-6,7-5,Completed
ASB Classic,2016-01-03,2016-01-09,3,Falconi I.,Flipkens K.,76.0,85.0,1-6,6-4,2-6,Completed
ASB Classic,2016-01-03,2016-01-09,3,Goerges J.,Strycova B.,50.0,42.0,6-4,7-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Dulgheru A.,Erakovic M.,69.0,135.0,7-6,6-3,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Wozniacki C.,Mchale C.,17.0,63.0,6-0,6-2,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Flipkens K.,Paszek T.,85.0,172.0,4-6,7-6,3-6,Completed
ASB Classic,2016-01-03,2016-01-09,3,Goerges J.,Hibino N.,50.0,66.0,6-7,6-2,6-4,Completed
ASB Classic,2016-01-03,2016-01-09,3,Stephens S.,Broady N.,30.0,122.0,7-6,6-3,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Dulgheru A.,Wozniacki C.,69.0,17.0,1-6,0-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Goerges J.,Paszek T.,50.0,172.0,6-4,6-2,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Stephens S.,Wozniacki C.,30.0,17.0,6-2,7-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Stephens S.,Goerges J.,30.0,50.0,7-5,6-2,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Lepchenko V.,Schmiedlova A.,47.0,26.0,6-2,6-1,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Cibulkova D.,Wickmayer Y.,38.0,41.0,3-6,6-4,6-4,Completed
Brisbane International,2016-01-03,2016-01-09,3,Bacsinszky T.,Pavlyuchenkova A.,12.0,28.0,2-6,1-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Mladenovic K.,Cornet A.,29.0,43.0,3-6,4-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Pereira T.,Petkovic A.,46.0,24.0,1-6,2-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Hon P.,Crawford S.,336.0,142.0,4-6,4-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Jankovic J.,Vinci R.,21.0,15.0,6-3,2-6,4-6,Completed
Brisbane International,2016-01-03,2016-01-09,3,Suarez Navarro C.,Tomljanovic A.,13.0,65.0,6-1,6-2,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Brengle M.,Bondarenko K.,40.0,89.0,6-4,4-6,6-4,Completed
Brisbane International,2016-01-03,2016-01-09,3,Errani S.,Bencic B.,20.0,14.0,1-6,2-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Kerber A.,Giorgi C.,10.0,35.0,5-7,6-3,6-0,Completed
Brisbane International,2016-01-03,2016-01-09,3,Cepelova J.,Stosur S.,147.0,27.0,4-6,6-3,4-6,Completed
Brisbane International,2016-01-03,2016-01-09,3,Vesnina E.,Azarenka V.,115.0,22.0,2-6,0-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Makarova E.,Gasparyan M.,23.0,61.0,6-4,2-6,6-3,Completed
Brisbane International,2016-01-03,2016-01-09,3,Vinci R.,Cibulkova D.,15.0,38.0,6-1,6-1,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Cornet A.,Pavlyuchenkova A.,43.0,28.0,2-6,6-1,4-6,Completed
Brisbane International,2016-01-03,2016-01-09,3,Suarez Navarro C.,Stosur S.,13.0,27.0,6-1,6-7,6-4,Completed
Brisbane International,2016-01-03,2016-01-09,3,Kerber A.,Brengle M.,10.0,40.0,6-3,6-0,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Crawford S.,Bencic B.,142.0,14.0,7-5,7-5,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Petkovic A.,Makarova E.,24.0,23.0,7-5,6-4,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Azarenka V.,Bonaventure Y.,22.0,170.0,6-3,6-2,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Lepchenko V.,Muguruza G.,47.0,3.0,7-6,1-0,,Muguruza G. Retired
Brisbane International,2016-01-03,2016-01-09,3,Pavlyuchenkova A.,Kerber A.,28.0,10.0,4-6,4-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Petkovic A.,Crawford S.,24.0,142.0,3-6,0-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Suarez Navarro C.,Lepchenko V.,13.0,47.0,4-6,6-4,7-5,Completed
Brisbane International,2016-01-03,2016-01-09,3,Azarenka V.,Vinci R.,22.0,15.0,6-1,6-2,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Suarez Navarro C.,Kerber A.,13.0,10.0,2-6,3-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Crawford S.,Azarenka V.,142.0,22.0,0-6,3-6,,Completed
Brisbane International,2016-01-03,2016-01-09,3,Kerber A.,Azarenka V.,10.0,22.0,3-6,1-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Duan Y.Y.,Hsieh S.W.,118.0,93.0,4-6,5-7,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Riske A.,Beck A.,97.0,58.0,6-7,6-3,6-2,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Rodina E.,Babos T.,87.0,70.0,3-6,2-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Jovanovski B.,Friedsam A.L.,79.0,95.0,0-6,3-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Begu I.,Arruabarrena L.,31.0,86.0,6-3,6-2,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Sevastova A.,Niculescu M.,113.0,39.0,6-1,4-6,3-6,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Zhang K.L.,Diyas Z.,140.0,52.0,4-6,6-7,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Siniakova K.,Mitu A.,102.0,96.0,6-3,6-3,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Konta J.,Wang Q.,48.0,110.0,3-6,6-3,3-6,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Smitkova T.,Gibbs N.,125.0,109.0,0-6,2-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Zhang S.,Khromacheva I.,139.0,180.0,6-3,6-3,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Shvedova Y.,Kontaveit A.,67.0,91.0,4-6,6-7,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Krunic A.,Radwanska A.,108.0,5.0,4-6,3-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Bouchard E.,Vekic D.,49.0,103.0,6-4,1-6,7-5,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,King V.,Voegele S.,412.0,119.0,7-5,6-4,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Zheng S.,Kvitova P.,72.0,6.0,6-2,,,Kvitova P. Retired
Shenzhen Open,2016-01-04,2016-01-09,3,Friedsam A.L.,Begu I.,95.0,31.0,7-5,3-2,,Begu I. Retired
Shenzhen Open,2016-01-04,2016-01-09,3,Babos T.,Niculescu M.,70.0,39.0,6-1,6-4,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Riske A.,Hsieh S.W.,97.0,93.0,3-6,7-5,6-1,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Bouchard E.,Gibbs N.,49.0,109.0,6-4,6-2,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,King V.,Wang Q.,412.0,110.0,6-7,3-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Siniakova K.,Diyas Z.,102.0,52.0,6-0,6-4,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Radwanska A.,Zhang S.,5.0,139.0,6-1,7-5,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Kontaveit A.,Zheng S.,91.0,72.0,6-1,6-2,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Kontaveit A.,Riske A.,91.0,97.0,1-6,6-3,3-6,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Bouchard E.,Babos T.,49.0,70.0,4-6,4-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Wang Q.,Radwanska A.,110.0,5.0,3-6,2-6,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Friedsam A.L.,Siniakova K.,95.0,102.0,6-4,2-6,6-1,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Riske A.,Babos T.,97.0,70.0,6-2,6-4,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Radwanska A.,Friedsam A.L.,5.0,95.0,6-2,6-4,,Completed
Shenzhen Open,2016-01-04,2016-01-09,3,Riske A.,Radwanska A.,97.0,5.0,3-6,2-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Gasparyan M.,Inglis M.,60.0,780.0,6-4,6-3,,Completed
Hobart International,2016-01-10,2016-01-16,3,Cornet A.,Allertova D.,42.0,67.0,6-4,7-5,,Completed
Hobart International,2016-01-10,2016-01-16,3,Witthoeft C.,Van Uytvanck A.,63.0,44.0,2-6,6-7,,Completed
Hobart International,2016-01-10,2016-01-16,3,Diyas Z.,Giorgi C.,52.0,35.0,4-6,6-1,1-6,Completed
Hobart International,2016-01-10,2016-01-16,3,Barthel M.,Doi M.,45.0,65.0,6-4,6-4,,Completed
Hobart International,2016-01-10,2016-01-16,3,Wolfe J.,Osaka N.,110.0,145.0,7-6,6-7,4-6,Completed
Hobart International,2016-01-10,2016-01-16,3,Hibino N.,Parmentier P.,58.0,120.0,7-6,6-1,,Completed
Hobart International,2016-01-10,2016-01-16,3,Bertens K.,Brengle M.,103.0,39.0,6-0,1-1,,Brengle M. Retired
Hobart International,2016-01-10,2016-01-16,3,Nara K.,Beck A.,84.0,56.0,4-6,3-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Cibulkova D.,Konta J.,37.0,49.0,7-6,7-5,,Completed
Hobart International,2016-01-10,2016-01-16,3,Birrell K.,Kovinic D.,341.0,55.0,6-4,6-3,,Completed
Hobart International,2016-01-10,2016-01-16,3,Pous-T. L.,Cepede Royg V.,188.0,142.0,3-6,6-2,1-6,Completed
Hobart International,2016-01-10,2016-01-16,3,Strycova B.,Larsson J.,48.0,54.0,4-6,4-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Bouchard E.,Mattek-Sands B.,47.0,64.0,6-2,6-1,,Completed
Hobart International,2016-01-10,2016-01-16,3,Mchale C.,Niculescu M.,66.0,38.0,5-7,5-7,,Completed
Hobart International,2016-01-10,2016-01-16,3,Pereira T.,Watson H.,46.0,53.0,3-6,0-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Giorgi C.,Hibino N.,35.0,58.0,6-2,6-3,,Completed
Hobart International,2016-01-10,2016-01-16,3,Larsson J.,Gasparyan M.,54.0,60.0,6-3,3-6,6-3,Completed
Hobart International,2016-01-10,2016-01-16,3,Bouchard E.,Van Uytvanck A.,47.0,44.0,6-4,7-5,,Completed
Hobart International,2016-01-10,2016-01-16,3,Cepede Royg V.,Cornet A.,142.0,42.0,4-6,7-5,2-6,Completed
Hobart International,2016-01-10,2016-01-16,3,Osaka N.,Barthel M.,145.0,45.0,6-7,2-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Bertens K.,Beck A.,103.0,56.0,6-3,6-1,,Completed
Hobart International,2016-01-10,2016-01-16,3,Cibulkova D.,Birrell K.,37.0,341.0,6-1,6-0,,Completed
Hobart International,2016-01-10,2016-01-16,3,Niculescu M.,Watson H.,38.0,53.0,7-6,2-6,6-7,Completed
Hobart International,2016-01-10,2016-01-16,3,Bertens K.,Cibulkova D.,103.0,37.0,5-7,3-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Barthel M.,Cornet A.,45.0,42.0,,,,Barthel M. Retired
Hobart International,2016-01-10,2016-01-16,3,Giorgi C.,Bouchard E.,35.0,47.0,3-6,2-6,,Completed
Hobart International,2016-01-10,2016-01-16,3,Larsson J.,Watson H.,54.0,53.0,3-6,6-4,6-4,Completed
Hobart International,2016-01-10,2016-01-16,3,Bouchard E.,Cibulkova D.,47.0,37.0,6-1,4-6,6-4,Completed
Hobart International,2016-01-10,2016-01-16,3,Cornet A.,Larsson J.,42.0,54.0,6-1,6-1,,Completed
Hobart International,2016-01-10,2016-01-16,3,Bouchard E.,Cornet A.,47.0,42.0,1-6,2-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Pironkova T.,Tsurenko L.,61.0,33.0,7-6,6-2,,Completed
Apai International,2016-01-10,2016-01-15,3,Bacsinszky T.,Schmiedlova A.,13.0,29.0,6-1,1-6,3-6,Completed
Apai International,2016-01-10,2016-01-15,3,Patterson T.,Kuznetsova S.,462.0,25.0,2-6,0-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Vandeweghe C.,Jankovic J.,41.0,21.0,3-6,4-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Mladenovic K.,Garcia C.,30.0,34.0,6-7,4-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Ivanovic A.,Pliskova Ka.,22.0,11.0,4-6,2-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Svitolina E.,Kerber A.,20.0,7.0,6-4,0-6,3-6,Completed
Apai International,2016-01-10,2016-01-15,3,Hradecka L.,Makarova E.,57.0,23.0,2-6,1-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Pavlyuchenkova A.,Arruabarrena L.,28.0,89.0,6-1,7-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Errani S.,Suarez Navarro C.,19.0,12.0,6-3,6-3,,Completed
Apai International,2016-01-10,2016-01-15,3,Lisicki S.,Hercog P.,32.0,73.0,6-4,6-3,,Completed
Apai International,2016-01-10,2016-01-15,3,Vinci R.,Stosur S.,15.0,27.0,6-4,5-7,5-7,Completed
Apai International,2016-01-10,2016-01-15,3,Puig M.,Rybarikova M.,94.0,77.0,6-2,3-6,6-4,Completed
Apai International,2016-01-10,2016-01-15,3,Lucic M.,Bencic B.,69.0,14.0,6-7,6-1,4-6,Completed
Apai International,2016-01-10,2016-01-15,3,Makarova E.,Kerber A.,23.0,7.0,,,,Kerber A. Retired
Apai International,2016-01-10,2016-01-15,3,Errani S.,Jankovic J.,19.0,21.0,7-6,7-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Schmiedlova A.,Puig M.,29.0,94.0,1-6,0-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Kuznetsova S.,Lisicki S.,25.0,32.0,6-3,3-6,6-2,Completed
Apai International,2016-01-10,2016-01-15,3,Pironkova T.,Bencic B.,61.0,14.0,3-6,3-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Pliskova Ka.,Pavlyuchenkova A.,11.0,28.0,6-3,6-0,,Completed
Apai International,2016-01-10,2016-01-15,3,Stosur S.,Hantuchova D.,27.0,88.0,6-4,6-2,,Completed
Apai International,2016-01-10,2016-01-15,3,Garcia C.,Halep S.,34.0,2.0,4-6,6-2,1-6,Completed
Apai International,2016-01-10,2016-01-15,3,Kuznetsova S.,Errani S.,25.0,19.0,7-6,6-0,,Completed
Apai International,2016-01-10,2016-01-15,3,Pliskova Ka.,Halep S.,11.0,2.0,4-6,5-7,,Completed
Apai International,2016-01-10,2016-01-15,3,Stosur S.,Puig M.,27.0,94.0,4-6,4-6,,Completed
Apai International,2016-01-10,2016-01-15,3,Makarova E.,Bencic B.,23.0,14.0,0-6,6-2,4-6,Completed
Apai International,2016-01-10,2016-01-15,3,Puig M.,Bencic B.,94.0,14.0,6-0,,,Bencic B. Retired
Apai International,2016-01-10,2016-01-15,3,Kuznetsova S.,Halep S.,25.0,2.0,7-6,4-6,6-3,Completed
Apai International,2016-01-10,2016-01-15,3,Puig M.,Kuznetsova S.,94.0,25.0,0-6,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Gasparyan M.,Errani S.,58.0,19.0,1-6,7-5,6-1,Completed
Australian Open,2016-01-18,2016-01-30,3,Gavrilova D.,Hradecka L.,39.0,53.0,7-6,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Kumkhum L.,Kvitova P.,158.0,7.0,3-6,1-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Golubic V.,Suarez Navarro C.,149.0,11.0,5-7,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Friedsam A.L.,Dominguez Lino L.,82.0,100.0,7-6,2-6,6-1,Completed
Australian Open,2016-01-18,2016-01-30,3,Koukalova K.,Gibbs N.,99.0,106.0,2-6,6-2,1-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Wickmayer Y.,Rybarikova M.,41.0,75.0,6-3,3-6,5-7,Completed
Australian Open,2016-01-18,2016-01-30,3,Wang Yaf.,Sakkari M.,138.0,170.0,4-6,6-1,3-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Giorgi C.,Williams S.,36.0,1.0,4-6,5-7,,Completed
Australian Open,2016-01-18,2016-01-30,3,Ostapenko J.,Hsieh S.W.,81.0,90.0,6-3,5-7,1-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Wang Q.,Stephens S.,102.0,26.0,6-3,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Davis L.,Pavlyuchenkova A.,103.0,28.0,1-6,6-3,6-4,Completed
Australian Open,2016-01-18,2016-01-30,3,Mladenovic K.,Cibulkova D.,30.0,38.0,6-3,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Schmiedlova A.,Kasatkina D.,29.0,69.0,3-6,3-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Dodin O.,Nara K.,147.0,94.0,6-7,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Putintseva Y.,Wozniacki C.,76.0,18.0,1-6,7-6,6-4,Completed
Australian Open,2016-01-18,2016-01-30,3,Mchale C.,Radwanska A.,65.0,4.0,2-6,3-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Han X.,Duque Marino M.,162.0,77.0,6-2,2-1,,Duque Marino M. Retired
Australian Open,2016-01-18,2016-01-30,3,Paszek T.,Vinci R.,126.0,15.0,4-6,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Bencic B.,Riske A.,13.0,88.0,6-4,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Hantuchova D.,Kuznetsova S.,89.0,20.0,0-6,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Falconi I.,Tatishvili A.,74.0,101.0,6-4,3-6,8-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Rodina E.,Sasnovich A.,91.0,105.0,3-6,6-7,,Completed
Australian Open,2016-01-18,2016-01-30,3,Bondarenko K.,Tomljanovic A.,92.0,67.0,7-6,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Niculescu M.,Pereira T.,40.0,46.0,6-2,6-1,,Completed
Australian Open,2016-01-18,2016-01-30,3,Linette M.,Puig M.,93.0,52.0,3-6,0-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Konjuh A.,Radwanska U.,87.0,108.0,0-6,6-4,6-3,Completed
Australian Open,2016-01-18,2016-01-30,3,Babos T.,Watson H.,60.0,79.0,6-7,7-5,7-5,Completed
Australian Open,2016-01-18,2016-01-30,3,Hibino N.,Sharapova M.,56.0,5.0,1-6,3-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Krunic A.,Bouchard E.,119.0,37.0,3-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Kulichkova E.,Petkovic A.,109.0,25.0,7-5,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Stosur S.,Pliskova Kr.,27.0,114.0,4-6,6-7,,Completed
Australian Open,2016-01-18,2016-01-30,3,Beck A.,Hon P.,55.0,335.0,6-0,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Diyas Z.,Keys M.,57.0,17.0,6-7,1-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Kontaveit A.,Muguruza G.,85.0,3.0,0-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Inglis M.,Makarova E.,779.0,24.0,3-6,0-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Barthel M.,King V.,44.0,349.0,6-3,5-7,4-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Lucic M.,Flipkens K.,68.0,80.0,7-5,2-6,5-7,Completed
Australian Open,2016-01-18,2016-01-30,3,Siegemund L.,Bertens K.,97.0,95.0,6-4,7-5,,Completed
Australian Open,2016-01-18,2016-01-30,3,Siniakova K.,Bacsinszky T.,98.0,14.0,3-6,5-7,,Completed
Australian Open,2016-01-18,2016-01-30,3,Konta J.,Williams V.,47.0,10.0,6-4,6-2,,Completed
Australian Open,2016-01-18,2016-01-30,3,Jankovic J.,Hercog P.,22.0,72.0,6-3,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Maria T.,Govortsova O.,73.0,71.0,6-4,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Shvedova Y.,Pironkova T.,70.0,78.0,6-4,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Duval V.,Svitolina E.,654.0,21.0,2-6,3-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Birrell K.,Pliskova Ka.,296.0,12.0,4-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Garcia C.,Strycova B.,34.0,48.0,2-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Lepchenko V.,Tsurenko L.,51.0,35.0,6-7,6-2,6-3,Completed
Australian Open,2016-01-18,2016-01-30,3,Sevastova A.,Wolfe J.,113.0,122.0,6-0,4-2,,Wolfe J. Retired
Australian Open,2016-01-18,2016-01-30,3,Vekic D.,Osaka N.,104.0,127.0,3-6,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Ivanovic A.,Patterson T.,23.0,459.0,6-2,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Cetkovska P.,Lisicki S.,132.0,32.0,4-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Goerges J.,Mitu A.,45.0,96.0,6-3,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Doi M.,Kerber A.,64.0,6.0,7-6,6-7,3-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Zheng S.,Witthoeft C.,83.0,62.0,6-1,6-2,,Completed
Australian Open,2016-01-18,2016-01-30,3,Sanders S.,Dulgheru A.,355.0,61.0,4-6,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Zanevska M.,Arruabarrena L.,146.0,86.0,7-6,3-6,3-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Kovinic D.,Crawford S.,54.0,107.0,6-2,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Allertova D.,Mattek-Sands B.,66.0,63.0,6-4,6-7,6-3,Completed
Australian Open,2016-01-18,2016-01-30,3,Cornet A.,Jovanovski B.,33.0,84.0,6-1,6-0,,Completed
Australian Open,2016-01-18,2016-01-30,3,Begu I.,Larsson J.,31.0,50.0,3-6,2-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Vandeweghe C.,Brengle M.,42.0,49.0,3-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Zhang S.,Halep S.,133.0,2.0,6-4,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Azarenka V.,Van Uytvanck A.,16.0,43.0,6-0,6-0,,Completed
Australian Open,2016-01-18,2016-01-30,3,Bondarenko K.,Kuznetsova S.,92.0,20.0,6-1,7-5,,Completed
Australian Open,2016-01-18,2016-01-30,3,Sharapova M.,Sasnovich A.,5.0,105.0,6-2,6-1,,Completed
Australian Open,2016-01-18,2016-01-30,3,Davis L.,Rybarikova M.,103.0,75.0,7-6,,,Rybarikova M. Retired
Australian Open,2016-01-18,2016-01-30,3,Friedsam A.L.,Wang Q.,82.0,102.0,6-3,6-4,,Completed
Australian Open,2016-01-18,2016-01-30,3,Konjuh A.,Kasatkina D.,87.0,69.0,4-6,3-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Williams S.,Hsieh S.W.,1.0,90.0,6-1,6-2,,Completed
Australian Open,2016-01-18,2016-01-30,3,Vinci R.,Falconi I.,15.0,74.0,6-2,6-3,,Completed
Australian Open,2016-01-18,2016-01-30,3,Babos T.,Bencic B.,60.0,13.0,3-6,3-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Sakkari M.,Suarez Navarro C.,170.0,11.0,7-6,2-6,2-6,Completed
Australian Open,2016-01-18,2016-01-30,3,Nara K.,Gasparyan M.,94.0,58.0,4-6,4-6,,Completed
Australian Open,2016-01-18,2016-01-30,3,Putintseva Y.,Han X.,76.0,162.0,6-3,6-1,,Completed
Australian Open,2016-01-18,2016-01-30,3,Kulichkova E.,Niculescu M.,109.0,40.0,6-4,2-6,6-4,Completed
Australian Open,2016-01-18,2016-01-30,3,Gibbs N.,Mladenovic K.,106.0,30.0,1-6,6-7,,Completed
Australian Open,2016-01-18,2016-01-30,3,Bouchard E.,Radwanska A.,37.0,4.0,4-6,2-6,,Completed
