Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2016-01-03,2016-01-09,3,Ostapenko J.,Larsson J.,84.0,56.0,6-1,7-5,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Witthoeft C.,Maria T.,64.0,74.0,6-2,7-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Barthel M.,Kuznetsova S.,45.0,25.0,2-6,1-1,,Barthel M. Retired
ASB Classic,2016-01-03,2016-01-09,3,Duque Marino M.,Hibino N.,78.0,66.0,2-6,6-2,5-7,Completed
ASB Classic,2016-01-03,2016-01-09,3,Van Uytvanck A.,Dulgheru A.,44.0,69.0,6-1,2-6,4-6,Completed
ASB Classic,2016-01-03,2016-01-09,3,Hercog P.,Stephens S.,73.0,30.0,3-6,3-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Vandeweghe C.,Falconi I.,37.0,76.0,7-5,4-6,3-6,Completed
ASB Classic,2016-01-03,2016-01-09,3,Mchale C.,Doi M.,63.0,54.0,6-2,6-4,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Hradecka L.,Goerges J.,53.0,50.0,0-6,3-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Paszek T.,Schiavone F.,172.0,114.0,7-6,4-6,6-3,Completed
ASB Classic,2016-01-03,2016-01-09,3,Strycova B.,Bertens K.,42.0,104.0,6-2,6-4,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Flipkens K.,Mattek-Sands B.,85.0,60.0,3-6,6-4,6-3,Completed
ASB Classic,2016-01-03,2016-01-09,3,Wozniacki C.,Kovinic D.,17.0,57.0,6-4,6-4,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Williams V.,Kasatkina D.,7.0,75.0,7-6,3-6,3-6,Completed
ASB Classic,2016-01-03,2016-01-09,3,Ivanovic A.,Broady N.,16.0,122.0,5-7,4-6,,Completed
ASB Classic,2016-01-03,2016-01-09,3,Putintseva Y.,Erakovic M.,77.0,135.0,6-7,6-7,,Completed
