"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belarus","BLR","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.6","7.9","8.2","8.3","8.6","9.4","8.9","8.8","8.6","9","9.1","8.8","9.2","9.5","9.5","9.3","9.7","9.9","9.9","10.1","10","10.3","",
"Belize","BLZ","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.1","","3.3","2.6","3.3","3.2","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1.3","1.1","1.9","1.7","","3.1","2","2.3","2.9","3.2","3.2","","3.8","3.4","3.6","3.8","3.9","3.7","3.9","4.5","5.1","4.7","",
"Brazil","BRA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","2.6","2.7","2.9","2.7","2.4","2.1","2","2.3","","2.8","2.4","","2.4","2.2","2.3","2.4","2.5","","2.5","2.6","2.6","2.9","2.9","3","3","3.2","3.2","","3.3","3.4","3.5","3.6","3.6","3.3","3.2","3.1","3.1","4.5","",
"Barbados","BRB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","6.7","","","","","6.7","","","","","6.7","","","","",
"Botswana","BWA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","","","","","","3","","","","","","","","","2.3","","","","","","","2.8","","","","","","3.9","","","","","","",
"Central African Republic","CAF","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","",
"Canada","CAN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","5.6","","","","6.8","","","","","","7.3","","","","","","7.6","","","","7.7","","","7.6","","","7.4","7.1","","7.1","","","","7","","","7.2","","","7.2","","6.9","6.7","7.1","6.9","7.3","7.1","","","","",
"Central Europe and the Baltics","CEB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
