rank,artist_names,track_name,label,peak_rank,weeks_on_chart,streams
76,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,17,10,8862256
77,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,Sony Music Entertainment Chile S.A,44,8,8780992
78,Yung Gravy,Betty (Get Money),Republic Records,78,5,8677103
79,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,65,8671686
80,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,12,45,8618810
81,Lasso,Ojos Marrones,Universal Music Mexico,72,6,8609674
82,Metallica,Master Of Puppets,Blackened Recordings / Universal Music,20,6,8571810
83,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,97,8450531
84,"Bad Bunny, Buscabulla",Andrea,Rimas Entertainment LLC,21,14,8374559
85,Bad Bunny,Un Coco,Rimas Entertainment LLC,25,14,8331551
86,Feid,Si Te La Encuentras Por Ahí,UMLE - Latino,86,1,8324685
87,"Imanbek, BYOR",Belly Dancer,Musical Freedom,77,11,8224170
88,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,83,8199551
89,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6,54,8116055
90,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,225,8082909
91,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,71,7995717
92,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,97,7961149
93,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,93,5,7871659
94,Adele,Easy On Me,Columbia,1,43,7866750
95,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,19,14,7762591
96,Coldplay,Yellow,Parlophone UK,58,86,7756086
97,Eminem,Without Me,Aftermath,31,46,7731394
98,Lil Nas X,THATS WHAT I WANT,Columbia,3,47,7721653
99,The Walters,I Love You So,Warner Records,21,44,7687476
100,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,17,77,7679661
101,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Columbia,86,3,7674316
102,Imagine Dragons,Believer,Kid Ina Korner / Interscope,16,288,7522714
103,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,103,5,7515171
104,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,188,7496791
105,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),105,10,7446611
106,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",72,13,7430694
107,"Coldplay, BTS",My Universe,Parlophone UK,3,46,7390039
108,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,93,12,7344654
109,The Police,Every Breath You Take,Polydor Records,109,61,7325847
110,Benson Boone,In The Stars,Warner Records,54,15,7294666
111,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,62,7241313
112,Mr.Kitty,After Dark,Juggernaut Music Group,112,17,7229855
113,Anitta,Envolver,Warner Records,2,23,7205759
114,Bad Bunny,Yo No Soy Celoso,Rimas Entertainment LLC,11,14,7142453
115,One Direction,Night Changes,Syco Music,111,11,7140260
116,Steve Lacy,Dark Red,Three Quarter,66,53,7126272
