,artist_names,track_name,weeks_on_chart,streams
114,Feid,Normal,5,8893400
115,"Marshmello, Khalid",Numb,9,6868715
116,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,14,23486675
117,Lasso,Ojos Marrones,6,8609674
118,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),83,11931800
119,Paloma Faith,Only Love Can Hurt Like This,12,7344654
120,"Bad Bunny, The Marías",Otro Atardecer,14,6773716
121,NAYEON,POP!,7,6807398
122,KAROL G,PROVENZA,16,19745401
123,"Bad Bunny, Rauw Alejandro",Party,14,14346290
124,"Shae Gill, Ali Sethi",Pasoori,16,5751788
125,"Maroon 5, Wiz Khalifa",Payphone,34,6568408
126,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),73,6539465
127,Farruko,Pepas,57,9350115
128,Ed Sheeran,Perfect,282,6292454
129,"Ana Castela, Melody, Dj Chris No Beat",Pipoco,4,5975947
130,"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),10,6671706
131,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",5,49200772
132,Vance Joy,Riptide,84,6855994
133,Kate Bush,Running Up That Hill (A Deal With God),11,30032752
134,Rosa Linn,SNAP,5,15219493
135,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),57,15847791
136,"DJ Khaled, Drake, Lil Baby",STAYING ALIVE (feat. Drake & Lil Baby),1,15991390
137,Beyoncé,SUMMER RENAISSANCE,2,5867950
138,The Weeknd,Save Your Tears,88,9171526
139,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,68,6733609
140,Ed Sheeran,Shape of You,289,6390794
141,Ed Sheeran,Shivers,48,10503440
142,Feid,Si Te La Encuentras Por Ahí,1,8324685
143,Nirvana,Smells Like Teen Spirit,83,6412353
144,The Neighbourhood,Softcore,30,5802014
145,Lewis Capaldi,Someone You Loved,188,7496791
146,"The Weeknd, Daft Punk",Starboy,97,8450531
147,"The Weeknd, Lana Del Rey",Stargirl Interlude,4,6167819
148,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",3,7674316
149,Lana Del Rey,Summertime Sadness,3,6987514
150,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,199,6601501
151,"Nicky Youre, dazy",Sunroof,14,13141161
152,The Neighbourhood,Sweater Weather,102,12617763
153,Guns N' Roses,Sweet Child O' Mine,10,6750061
154,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,22,5748303
155,Lil Nas X,THATS WHAT I WANT,47,7721653
156,Rex Orange County,THE SHADE,3,6352101
157,Billie Eilish,TV,3,7104173
158,Hozier,Take Me To Church,85,5735149
159,"Bad Bunny, Jhay Cortez",Tarot,14,15746632
160,"Shakira, Rauw Alejandro",Te Felicito,16,15230719
161,The Weeknd,The Hills,50,7114342
162,"Tiësto, Ava Max",The Motto,40,6771424
163,Eminem,The Real Slim Shady,62,6757686
