rank,artist_names,track_name,label,peak_rank
88,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1
89,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6
90,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24
91,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3
92,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4
93,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,93
94,Adele,Easy On Me,Columbia,1
95,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,19
96,Coldplay,Yellow,Parlophone UK,58
97,Eminem,Without Me,Aftermath,31
98,Lil Nas X,THATS WHAT I WANT,Columbia,3
99,The Walters,I Love You So,Warner Records,21
100,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,17
101,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Columbia,86
102,Imagine Dragons,Believer,Kid Ina Korner / Interscope,16
103,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,103
104,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4
105,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),105
106,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",72
107,"Coldplay, BTS",My Universe,Parlophone UK,3
108,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,93
109,The Police,Every Breath You Take,Polydor Records,109
110,Benson Boone,In The Stars,Warner Records,54
111,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3
112,Mr.Kitty,After Dark,Juggernaut Music Group,112
113,Anitta,Envolver,Warner Records,2
114,Bad Bunny,Yo No Soy Celoso,Rimas Entertainment LLC,11
115,One Direction,Night Changes,Syco Music,111
116,Steve Lacy,Dark Red,Three Quarter,66
117,The Weeknd,The Hills,Universal Republic Records,52
118,Billie Eilish,TV,Darkroom/Interscope Records,27
119,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,3
120,Bad Bunny,Me Fui de Vacaciones,Rimas Entertainment LLC,14
121,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,121
122,Lana Del Rey,Summertime Sadness,Polydor Records,122
123,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,117
124,Taylor Swift,Blank Space,"Big Machine Records, LLC",113
125,GAYLE,abcdefu,Atlantic/Arthouse Records,1
126,Seafret,Atlantis,Sweet Jane Recordings,126
127,"Marshmello, Khalid",Numb,Joytime Collective/RCA Records,114
128,Vance Joy,Riptide,F-Stop Records/Atlantic,122
129,"Polimá Westcoast, Pailita",ULTRA SOLO,Sony Music Entertainment Chile S.A,42
130,Rema,Calm Down,Mavin Records / Jonzing World,130
131,Drake,Massive,OVO,18
132,Bad Bunny,Aguacero,Rimas Entertainment LLC,22
133,NAYEON,POP!,Republic Records – NAYEON (TWICE),68
134,Post Malone,Circles,Republic Records,1
135,Cigarettes After Sex,Apocalypse,Partisan Records,135
136,"Bad Bunny, The Marías",Otro Atardecer,Rimas Entertainment LLC,24
137,"Tiësto, Ava Max",The Motto,Atlantic Records,22
138,Eminem,The Real Slim Shady,Interscope,51
139,"Grupo Marca Registrada, Junior H",El Rescate,RB Music,129
140,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,101
141,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,5
142,Queen,Bohemian Rhapsody - Remastered 2011,EMI,11
143,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,7
144,J. Cole,No Role Modelz,Roc Nation Records LLC,76
145,"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),Columbia,26
146,"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,Parlophone UK,127
147,The Killers,Mr. Brightside,Island Records,98
148,BTS,Dynamite,BIGHIT MUSIC,2
149,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1
150,LF SYSTEM,Afraid To Feel,Warner Records,150
151,Danny Ocean,Fuera del mercado,Atlantic Records,22
152,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,70
153,OneRepublic,Counting Stars,Mosley / Interscope,101
154,WILLOW,Wait a Minute!,Roc Nation W Smith P&D,28
155,Charlie Puth,Light Switch,Atlantic Records,19
156,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1
157,Dua Lipa,Don't Start Now,Warner Records,2
158,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,107
159,Nirvana,Smells Like Teen Spirit,Geffen,103
160,Ed Sheeran,Shape of You,Atlantic Records UK,1
161,Rex Orange County,THE SHADE,Rex Orange County,161
162,Ed Sheeran,Perfect,Atlantic Records UK,4
163,Conan Gray,Heather,Republic Records,12
164,"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,18
165,Avicii,Wake Me Up,Universal Music AB,13
166,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1
167,Bruno Mars,Locked out of Heaven,Atlantic Records,106
168,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,168
169,Måneskin,Beggin',RCA Records Label,1
170,Dove Cameron,Boyfriend,Disruptor Records/Columbia,11
171,"Beyoncé, BEAM",ENERGY (feat. Beam),Parkwood Entertainment/Columbia,34
172,Harry Styles,Matilda,Columbia,5
173,Harry Styles,Music For a Sushi Restaurant,Columbia,6
174,Panic! At The Disco,House of Memories,Decaydance/Fueled By Ramen,64
